,event_code,event_subject,event_image,event_start,event_end,event_categories
78,285493,Apple Store에서 결제하면 무이자할부!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250318_applestore_blue.png,2025-03-19,2025-06-17,"[""할인""]"
79,285419,알리페이 X 마스터카드 신규 등록하면 10위안,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250305_master_ali_red.png,2025-03-01,2025-06-30,"[""포인트리""]"
80,285157,20% + 20%로 즐기는 일본여행,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250114_japan_orange.png,2025-02-10,2025-07-09,"[""캐시백""]"
81,285210,에버온 EV카드 충전요금 월 최대 4만원 할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/240212_EVcard_olive_b.png,2025-01-16,2026-01-15,"[""경품""]"
82,284760,안전한 해외 여행 해외여행보험 챙기세요,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241108_travel_blue.png,2025-01-02,2025-06-30,"[""경품""]"
83,285750,마스터 & 비자 플래티늄 일본 공항 라운지 무료,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_241129_Lounge_blue.png,2025-01-01,2025-12-31,"[""할인""]"
84,285221,비스터컬렉션 VIP패스 유럽 명품 10% 할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_Bicester_purple.png,2025-01-01,2025-12-31,"[""할인""]"
85,284952,트립닷컴 상시 최대 8% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/240106_Trip_blue.png,2025-01-01,2025-12-31,"[""할인""]"
86,284937,JCB카드로 하와이 트롤리 핑크라인 무료!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241231_hawaii-pinkline-JCB_pink.png,2025-01-01,2025-12-31,"[""할인""]"
87,284909,T.Station 타이어할인 +모바일주유권,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250221_T_station_pink.png,2025-01-01,2025-12-31,"[""할인""]"
88,284907,"JCB카드로 일본, 하와이 라운지 무료!",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241231_Japen-Hawaii-JCB_red.png,2025-01-01,2025-12-31,"[""할인""]"
89,284906,"인천, 김포, 김해공항 라운지 혜택!",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241129_lounge_purple.png,2025-01-01,2025-12-31,"[""할인""]"
90,284905,2025년에도 전세계 스타벅스 20%,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250221_starbucks_blue.png,2025-01-01,2025-12-31,"[""캐시백"", ""포인트리""]"
91,284903,호텔스닷컴 상시 10% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250109_hotels.com_orange.png,2025-01-01,2025-12-31,"[""할인""]"
92,284899,렌탈카스닷컴 5% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/240103_Rentalcars_blue.png,2025-01-01,2025-12-31,"[""할인""]"
93,284893,[KB국민 사장님카드] 국내공항 라운지 혜택!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241129_ceocard_brown.png,2025-01-01,2025-12-31,"[""할인""]"
94,284877,MR PORTER 15% 즉시 할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_MR_PORTER_khaki.png,2025-01-01,2025-12-31,"[""할인""]"
95,284875,NET-A-PORTER 15% 즉시 할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241230_net-a-porter_olive.png,2025-01-01,2025-12-31,"[""할인""]"
96,282120,에어알로 eSIM 20% 즉시할인,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250112_airalo_orange.png,2025-01-01,2025-12-31,"[""할인""]"
97,284774,"파리 명품 10% 할인 스벅, 상품권, 댄공마일",https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241205_paris_purple.png,2024-12-16,2025-06-30,"[""할인"", ""경품""]"
98,284000,챗GPT 구독하면 신세계 상품권 최대 10만원,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241129_chatgpt_blue.png,2024-09-01,2025-08-31,"[""경품""]"
99,283776,쿠팡와우카드 한정 추가 제휴 혜택 모음,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/___240206_coupang_blue.png,2024-08-12,2025-12-31,"[""할인""]"
100,282916,뚜레쥬르 매장에서 최대 15% 즉시 할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250221_TouslesJours_red.png,2024-06-03,2025-12-31,"[""할인""]"
101,282202,한국장학재단2024학년도 교육급여 바우처 안내,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/241129_education_purple.png,2024-04-01,2025-06-30,"[""포인트리""]"
102,281399,쿠팡 와우 카드 고객 감사 행사,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/250131_CoupangThanks_blue.png,2023-10-16,2026-04-14,"[""경품""]"
103,279896,고든램지 레스토랑 10% 현장 할인!,https://img1.kbcard.com/ST/img/cxc/event/mgr/banner/_250418_GRR_brown.png,2023-04-13,2026-04-12,"[""할인"", ""체크""]"
